PropertyAddress,MoveOut,MoveIn,NOTES
3614 Wishart St,12/14/2018,12/15/2018,Ryan
922B Hale St,12/18/2018,12/19/2018,Lease Takeover
2008 Englewood,12/18/2018,12/27/2018,Lease takeover
1402 Lakewood,12/31/2018,1/1/2019,"Tenant already there - change batt, inspect"
1011-21 Morreene,12/31/2018,1/4/2019,Punch list Ryan then have Krista clean
1002-A Clarendon,12/20/2018,1/11/2019,Lease through 12-31
824-A Green,12/10/2018,1/15/2019,owner got ready
1708-A Englewood,1/31/2019,1/15/2019,
635B W Club,12/31/2018,1/30/2019,"Done, sent Krista w/o on 1/23"
2306 W Knox,2/2/2019,2/1/2019,Lease Takeover
2823-B Broad St,N/A,2/1/2019,"Done, sent Krista w/o on 1/23"
2145 Winkler,N/A,2/1/2019,
711-B W Knox,6/30/2018,2/6/2019,Joan might reno
406 Auburn,N/A,2/7/2019,Leasing Commision
905-B Virgie,2/2/2019,2/8/2019,Lease Takeover
1019 Green St,7/31/2018,2/22/2019,Apple is done - Joan to walk through for possible updates
3313 Spector,1/31/2019,2/22/2019,Sent to Krista 1/28
709 Bolton,10/31/2018,2/23/2019,"Krista done, is Joe? (2/13)"
407 Sapphire,2/21/2019,3/1/2019,Sent to Krista 1/28
1011-14 Morreene,2/28/2019,3/1/2019,Lease Takeover
1007.5 Rosehill,3/6/2019,3/7/2019,Lease Takeover
3307 N Duke,N/A,3/15/2019,Leasing Commision
2421-A Camellia Dr,N/A,3/19/2019,Leasing Commision
5728 Greenbay Dr,N/A,3/23/2019,
1011-2 Morreene Rd,2/28/2019,4/1/2019,"Sent to Ryan 3/5, Might not need cleaning?"
335 Shannon Ct,2/28/2019,4/1/2019,Approved Krista 3/8
215 Hargrove,N/A,4/1/2019,
1003 Eno St,3/31/2019,4/9/2019,Krista approved 4/5
2823-A Broad St,2/28/2019,4/11/2019,"Sent to Clark, 3/5 - need to list but when? Krista done 3/7"
1109 Arnette,4/1/2019,4/12/2019,approved Zach 4/9 Krista to clena after
1714 Roxboro,N/A,4/15/2019,
922B Hale St,4/19/2019,4/20/2019,Need Joe to change smoke and CO batt
2815 State St,N/A,4/23/2019,
2703 Lawndale,12/31/2018,4/25/2019,"LM for Starglazed on 1-28, after they do tub, have Krista light clean, list after Chris takes pics"
1315-C Ripley,12/31/2018,4/29/2019,Approved Krista unless Kassy says otherwise 1/24
908-A Rosehill,4/13/2019,5/1/2019,Lease Takeover
806-B Rosehill,N/A,5/1/2019,Leasing Commission
216 Basset Hall,N/A,5/1/2019,Leasing Commision
2806 Shenandoah,3/31/2019,5/10/2019,"Sent to Joe 4/1, already clean"
4216 S Alston,4/30/2019,5/10/2019,Sent to Krista 4/12
906  Murray Ave,4/30/2019,5/15/2019,"Assigned to Krista 5/6, Ryan to do some punch"
1605-A W Club Blvd,5/15/2019,5/16/2019,Sent to Joe
13 Virginia Dare,5/15/2019,5/16/2019,"batteries only, gave to Ryan"
4214-B Alston,2/28/2018,5/17/2019,Reno
2208 W Knox,5/1/2019,5/17/2019,"Joe Done, Krista to clean 5/16"
1007 Rosehill,4/30/2019,5/18/2019,Scheduled Ryan and Krista 5/10
4218 Alston,10/31/2018,5/20/2019,Remodel
920-B Hale,5/15/2019,5/20/2019,"Sent to Joe 5/15, lease takeover so no cleaning"
920-A Hale,4/30/2019,5/22/2019,"Joe Done, Krista to clean 5/21"
2708-A lawndale,5/15/2019,5/24/2019,
1603-B W Club,5/28/2019,5/29/2019,Lease Takeover
911-B Rome Ave,3/6/2019,5/31/2019,Sent to Izzy 3/7 send Krista after
905 Carolina,4/30/2019,5/31/2019,"Gave to Joe May 10th, Krista to clean May 28"
1110 Watts,6/30/2018,6/1/2019,"Sent a list to owner, items to complete 7-3, Krista cleaned 7/10"
908-B Rosehill,5/25/2019,6/1/2019,"Joe done, Krista to clean May 31"
917 Hale,5/31/2019,6/1/2019,batteries
1018 Ninth ,5/31/2019,6/1/2019,batteries
1015-2 Ninth,5/31/2019,6/1/2019,batteries
1704 W Markham,5/31/2019,6/1/2019,Joe done
1604 W Club,5/31/2019,6/1/2019,Lease takeover
1007 Ninth,5/31/2019,6/1/2019,batteries
46 Redbud,N/A,6/1/2019,Oven isn't working - the burner inside is broken   garbage disposal is broken 
2718 Omah St,4/30/2019,6/4/2019,"Clark approved for new carpet, approved Krista 5/23 - thinks she'll be done for Sat move"
1011-4 Moreene,5/31/2019,6/4/2019,
904-A Virgie St,5/20/2019,6/6/2019,Sent to Kingsford 5/21
1010 Virgie St,5/31/2019,6/7/2019,sent to Joe and Krista 5/31
910-A Ninth,5/31/2019,6/7/2019,"Joe done, and Krista 6/3"
910-B Ninth,5/31/2019,6/7/2019,Sent to Joe and Krista 5/31
4212-B S Alston,5/31/2019,6/8/2019,Sent to Scott 6/3
60 Justin,5/31/2019,6/10/2019,Krista to clean and do batteries
2200-B Caroline,3/31/2019,6/14/2019,"Ryan done, sent to Krista 6/7"
2113-B Peppertree,3/31/2019,6/14/2019,Approved Krista 4/11
1606 Maryland,5/31/2019,6/14/2019,"Sent to Joe a 5/31, Krista Done"
1705 James St,5/31/2019,6/14/2019,Approved Clark 6/4 - Approved Krista 6/4
2700 Lawndale,5/31/2019,6/14/2019,"Sent to Joe 5/31, Krista Done"
2025 Pershing ST,5/31/2019,6/14/2019,"Sent to Ryan 6/4, have Krista clean after"
822-A Green St,5/31/2019,6/14/2019,"Owner done, Krista to clean 6-13"
100-A W Club,5/31/2019,6/14/2019,Sent to Ryan 6-6
120 Newell St,5/31/2019,6/14/2019,"sent to Zach 5/31, sent to Krista 6/10"
772 Durham,N/A,6/14/2019,
915-B Buchanan,5/15/2019,6/15/2019,Sent to Krista 5/29
1001 Iredell,5/31/2019,6/15/2019,Approved Krista 6/5
1013-2 Ninth ,5/31/2019,6/15/2019,Sent to Joe and Krista 5/21
4100 Five Oaks,5/31/2019,6/15/2019,"Krista approved 6/10, sent need 2nd estimate to compare with Clarks that we got 6/5 before send to Doron"
1011-23 Morreene,5/31/2019,6/15/2019,Sent to Krista 5/31
806-D Rosehill,5/31/2019,6/20/2019,Leasing Commission
410 Newsom,N/A,6/20/2019,
1011-17 Moreene,4/30/2019,6/22/2019,"Sent to ryan 5/10, doesn't need cleaning"
1011-18 Moreene,5/31/2019,6/22/2019,Sent to Krista 5/28
1011-10 Morreene,5/31/2019,6/22/2019,Sent to Krista 5/29
5 Drummond,5/31/2019,6/22/2019,"Ryan done, sent to Krista 6/7"
774 Durham,4/30/2019,6/24/2019,List when Philip Says so
1016 Minerva Ave,5/31/2019,6/25/2019,Sent to Krista 6/4
1139 Searstone,5/31/2019,6/26/2019,"estimate request for carpet sent to Clark, 6/18 ,all else done"
1011-22 Morreene,5/31/2019,6/28/2019,Krista
1331 Hamlin,5/31/2019,6/28/2019,Sent to Krista 6/19
913-A Rosehill,5/31/2019,6/28/2019,"Sent to Joe, 5-31, have Krista clean after"
911-A Rosehill,5/31/2019,6/29/2019,"Joe done, gave to Krista 6/20"
1902 James,5/31/2019,6/29/2019,"Resp till July 31, Sent to Owner 6/4"
12529 Norwood,N/A,6/29/2019,Phillip
1002 Trinity Ave,5/31/2019,7/1/2019,"Zach done, sent to Krista 6/17"
914 Ninth,5/31/2019,7/1/2019,"Sent to Joe June 5, gave to Krista 6/20"
1011-3 Ninth,5/31/2019,7/1/2019,"sent to Joe 5/29, gave to Krista 6/20"
904 Rome,5/31/2019,7/1/2019,"Sent to Izzy 6/13, Sent to Krista 6/13"
2629 Lawndale,5/31/2019,7/1/2019,"Sent to Joe 5/21, Gave to Krista 6/20"
2613 Chapel Hill,6/5/2019,7/1/2019,"Eric done, sent cleaning to Krista 6/17"
132 Blue Crest,N/A,7/1/2019,Leasing Commision
11 Sugar Creek,N/A,7/1/2019,
117-A Maynard,6/27/2019,7/6/2019,
410 W Hill,7/6/2019,7/7/2019,Takeover - responsible through Feb 2020
913-A Edith,6/30/2019,7/10/2019,
3707 Crabtree,6/30/2019,7/12/2019,
4426 Ryan St,6/30/2019,7/12/2019,
2308 Albany ,6/30/2019,7/13/2019,
908 Hale ,6/30/2019,7/13/2019,
911-B Rosehill Ave,5/31/2019,7/15/2019,"Sent to Joe, 5-31, have Krista clean after"
2631 Lawndale,5/31/2019,7/15/2019,"Sent to Joe 6/3, have Krista touc up clena before move in"
1123 Iredell,6/30/2019,7/15/2019,
1209-B Sedgefield,6/30/2019,7/15/2019,
4721 High Meadow,6/30/2019,7/15/2019,
2126 Sprunt,6/30/2019,7/15/2019,"See about taking down wallpaper and painting, and removing carpeting."
2405 Huron ,6/30/2019,7/15/2019,
1015-A Clarendon,6/30/2019,7/15/2019,
1315-A Ripley,7/15/2019,7/19/2019,Lease takeover
1019-A Ninth,5/31/2019,7/24/2019,Sent to Joe and Krista 5/21
919-back N. Buchanan,6/30/2019,7/24/2019,
117-B Maynard,7/15/2019,7/25/2019,
907-A Rome,6/30/2019,7/26/2019,
913-B Rosehill Ave,7/1/2019,7/26/2019,
1012-B Ninth St,7/15/2019,7/27/2019,resp until 7-31
1010-B Ninth,6/30/2019,8/1/2019,
116-A E Edgewood,6/30/2019,8/1/2019,
2707 Lawndale,7/31/2019,8/1/2019,Light clean and batteries only
1309 Norton,8/7/2019,8/8/2019,clean only
710 W Club,7/31/2019,8/10/2019,
907-B Rome Ave,7/31/2019,8/10/2019,
1209-A Sedgefield,7/31/2019,8/11/2019,
1209-A Sedgefield,7/31/2019,8/11/2019,
1832 Forest Green,7/31/2019,8/15/2019,
1002-B Monmouth,N/A,8/20/2019,Canu
1113 Ninth,8/15/2019,8/23/2019,
1011-B N Buchanan,8/20/2019,8/23/2019,"If we paint, tenants wants ot know if we can do warmer off-white"
104 Hammond,?,?,New for Jeff?
313 E Trinity,1/31/2018,,wait for Rand
824-B Green,6/30/2018,,renovating?
810 Rosehill,11/1/2018,,"Sent estimate to owner, 12/6, waiting on RamJack to estimate. Might sell"
109 W Main,1/2/2019,,"If she can't rent for 1670 then she'll sell, waiting for owner input on turn"
1011-21 Morreene,2/1/2019,,"List after Krista done, sent to Krista 2/6"
723 Carter St,2/6/2019,,Approved Krista 2/21
1604 Cheshire Bridge,2/15/2019,,Selling
903-back Iredell,3/21/2019,,Zach to fix floors and get stove and fridge(sent 4/1) Then send Krista to clean
3 colingdale,3/31/2019,,Owner selling
116 Student Place,4/30/2019,,Leasing Commission
2204-B Caroline,4/30/2019,,re-list when Ed says 
819 Nancy,4/30/2019,,Susie to renovate
201 Albemarle,4/30/2019,,Sent to Krista 5/6
805 Glendale,5/10/2019,,"sent to ryan 5/10, have Krista clean after"
1004-A Clarendon,5/22/2019,,Remodel
100-B W Club,5/31/2019,,"Ryan done, sent to Krista 6/7"
823 Saratoga,5/31/2019,,Selling
2635 Chapel Hill,5/31/2019,,Owner reno
2105-4 LaFayette,5/31/2019,,"sent to Zach 5/31, have Krista clean after"
1412-A Broad St,5/31/2019,,"Ryan done, sent to Krista 6/27, Zach to assess floor wet spot"
803-B Lancaster,5/31/2019,,Kim doing
1802-A Alston,5/31/2019,,"Jessica has dispatched, list after clean up"
1001 Urban,5/31/2019,,Renovation
1013-1 Ninth St,5/31/2019,,Sent all to Krista 6/17
905-B Virgie,5/31/2019,,"Gave to Joe 6/10, Krista to clean after"
1012-A Ninth,5/31/2019,,"sent to Joe 5/29, have Krista clean after"
2704 Highland Ave,6/5/2019,,"Estimates requested from Krista, FailSafe, and Jenkins."
1315-B Ripley,6/15/2019,,"Estimates requested from Clark and Krista, need to list"
924-A Alabama,6/15/2019,,"Asked owner about the turn, don't know if she wants to list"
3503 Cole Mill,6/30/2019,,owner to do turn
136 Hollyhock,6/30/2019,,Selling
