PropertyAddress,MoveOut,MoveIn
1011-3 Ninth St,05/31/14,1/4/15
1013-1 Ninth St,05/31/14,1/13/15
1015-1 Ninth St,05/31/14,6/15/15
202 E Maynard,05/31/14,8/1/15
911B Rosehill,05/31/14,Renovate
1015-2 Ninth ,07/31/14,5/20/15
407 Sapphire,10/02/14,1/16/15
8716 Quail Roost Rd,10/14/14,3/13/15
5 Rosemeade Pl,10/24/14,5/1/15
1714 Roxboro,11/17/14,8/1/15
2716 Shaftsbury St,11/25/14,2/15/15
2105-3 Layfette,12/15/14,1/23/15
913-B Rosehill,12/19/14,6/1/15
1011-19 Morreene,12/31/14,1/8/15
911-B Rome,12/31/14,2/6/15
1600A W. Club,12/31/14,2/20/15
21 Signet,01/01/15,3/2/15
2704 Highland,01/08/15,1/15/15
1004 Virgie,01/11/15,1/15/15
905-B Rosehill,01/18/15,1/20/15
903 N Duke,01/30/15,2/1/15
1409 Kirkwood,01/31/15,2/1/15
1011 Moreene Rd #11,01/31/15,3/5/15
213-B Bridgefield,01/31/15,3/25/15
2815 Enfield Dr,01/31/15,5/1/15
4214-B Oran Ave,02/11/15,4/30/15
911A Rome,02/15/15,2/24/15
3920 Cole Mill,02/20/15,2/27/15
3707 Crabtree,02/28/15,3/1/15
1201-4 Elizabeth St,02/28/15,3/27/15
819 Nancy,02/28/15,4/1/15
1113-2 Camden,02/28/15,4/7/15
905 Carolina,02/28/15,4/10/15
2215 Shoreham,02/28/15,4/16/15
1011-5 Morreene,03/15/15,3/16/15
913-A Rosehill,03/15/15,6/26/15
846 Estes,03/16/15,4/17/15
1003-A Broad,03/31/15,3/21/15
2410 Albany,03/31/15,4/1/15
914 Hale,03/31/15,4/10/15
925 Fleming,03/31/15,6/2/15
1011-A Buchanan,04/08/15,5/4/15
1002-A Clarendon,04/29/15,5/25/15
1008 Virgie,04/30/15,5/8/15
1603-B W Club,04/30/15,5/11/15
312 N Buchanan #306,04/30/15,5/15/15
1823 James,05/01/15,6/1/15
100 W Mayard,05/03/15,5/4/15
1712 Roxboro,05/04/15,
601 E Lavender,05/05/15,5/5/15
922-B Hale,05/09/15,5/10/15
801-B Green,05/13/15,7/1/15
312-408 Buchanan,05/16/15,6/1/15
312 N Buchanan #103,05/18/15,5/29/15
2501-B Chapel Hill,05/23/15,7/1/15
522 Andover,05/26/15,5/29/15
2210 Alabama,05/31/15,5/29/15
1201-3 Elizabeth,05/31/15,6/5/15
2629 Hitchcock,05/31/15,6/5/15
1019-A Ninth,05/31/15,6/8/15
3004 Buckingham,05/31/15,6/8/15
1010-B Clarendon,05/31/15,6/12/15
907A Rosehill,05/31/15,6/12/15
1708 A Englewood,05/31/15,6/12/15
1001 Urban,05/31/15,6/12/15
1109 Arnette,05/31/15,6/12/15
312-404 Buchanan,05/31/15,6/15/15
1600-B W. Club,05/31/15,6/19/15
1603-A W Club,05/31/15,6/20/15
204 E Markham #2,05/31/15,6/22/15
1010-B Ninth,05/31/15,6/26/15
1201-2 Elizabeth,05/31/15,6/26/15
1012-B Ninth,05/31/15,7/1/15
910-A Ninth ST,05/31/15,7/1/15
312-406 Buchanan,05/31/15,7/1/15
2728 Holloway,05/31/15,7/1/15
313 N Buchanan #303,05/31/15,7/1/15
1309 Norton St,05/31/15,7/8/15
1011 Moreene Rd #3,05/31/15,7/10/15
3311 Spector,05/31/15,7/11/15
819 Burch,05/31/15,7/15/15
1318-B Marne,05/31/15,7/27/15
312 N Buchanan #104,05/31/15,8/1/15
1011-29 Morreene Rd,05/31/15,8/1/15
1704 W Markham,05/31/15,8/1/15
1109-A Georgia,05/31/15,8/1/15
907FR Iredell,05/31/15,8/1/15
1315C Ripley,05/31/15,9/15/15
2105-4 Lafayette,05/31/15,11/1/15
1019-B Ninth St,05/31/15,
1011-A Buchanan,06/01/15,6/15/15
1113 Ninth ,06/06/15,6/23/15
1002-B Clarendon,06/08/15,6/15/15
1726 Vista,06/16/15,7/15/15
911-A Clarendon,06/30/15,7/8/15
1001-B Carolina,06/30/15,7/10/15
1116-A Ninth,06/30/15,7/10/15
312 N Buchanan #205,06/30/15,7/10/15
2700 Omah St,06/30/15,7/10/15
5 Drummond,06/30/15,7/10/15
1011-20 Morreene ,06/30/15,7/10/15
2504 Green,06/30/15,7/13/15
909-A Rosehill,06/30/15,7/15/15
1123 Iredell,06/30/15,7/15/15
12 riverwalk,06/30/15,7/15/15
914 Ninth,06/30/15,7/15/15
4609 Jimmy Rogers,06/30/15,7/18/15
1011 Morreene #15,06/30/15,7/20/15
1008 Hale,06/30/15,7/26/15
1011-2 Ninth,06/30/15,7/27/15
105B Delafield,06/30/15,8/1/15
1011-14 Morreene,06/30/15,8/1/15
1011-19 Morreene,06/30/15,8/3/15
1020 Ninth St,06/30/15,8/17/15
1606 Maryland,06/30/15,8/24/15
904 Rome,06/30/15,8/26/15
1322-A Marne,06/30/15,8/28/15
1322-C Marne,06/30/15,9/4/15
1712 James,06/30/15,9/15/15
903-Front Iredell,07/01/15,7/11/15
312 N Buchanan #102,07/03/15,7/10/15
