PropertyAddress,MoveOut,MoveIn
1010 Virgie St,1/31/2014,10/4/2014
1010-B Ninth St,2/28/2014,5/15/2014
1708-C Engelwood,3/31/2014,5/15/2014
922-A Hale,3/31/2014,5/15/2014
2515 Wilbon St,4/10/2014,5/15/2014
2635 Chapel Hill,4/30/2014,8/1/2014
1825 James St,4/30/2014,7/15/2014
1002 Hale St,4/30/2014,6/16/2014
1011-B N Buchanan,4/30/2014,5/30/2014
1011 Morreene #29,4/30/2014,5/25/2014
1201 N Elizabeth #1,4/30/2014,5/10/2014
407 Swift Ave,4/30/2014,4/7/2014
117-B Maynard Ave,4/30/2014,
1216 Broad St UP,5/9/2014,5/15/2014
1011 Morreene #27,5/11/2014,5/15/2014
1704 W Markham,5/12/2014,5/14/2014
1116-B Ninth,5/27/2014,6/20/2014
911B Rosehill,5/31/2014,1/1/2025
911B Rosehill,5/31/2014,1/1/2025
202 E Maynard,5/31/2014,1/1/2025
202 E Maynard,5/31/2014,8/1/2015
1015-1 Ninth St,5/31/2014,6/15/2015
1013-1 Ninth St,5/31/2014,1/13/2015
1013-1 Ninth St,5/31/2014,1/13/2015
1011-3 Ninth St,5/31/2014,1/4/2015
1011-3 Ninth St,5/31/2014,1/4/2015
1011-1 Ninth St,5/31/2014,9/25/2014
2420-B Stadium,5/31/2014,8/27/2014
2200-A Caroline Dr,5/31/2014,8/1/2014
112 Mt Evans,5/31/2014,7/18/2014
992 Stoney Mountain,5/31/2014,7/16/2014
1013-3 Ninth St,5/31/2014,7/15/2014
2403 W Knox,5/31/2014,7/15/2014
1002-B Clarendon,5/31/2014,7/13/2014
1019-B Ninth ,5/31/2014,7/11/2014
2631 Lawndale,5/31/2014,7/3/2014
1010-A Ninth St,5/31/2014,7/1/2014
1703 James St,5/31/2014,7/1/2014
1406-A W Markham,5/31/2014,7/1/2014
3707 Crabtree,5/31/2014,7/1/2014
1927-B Ward St,5/31/2014,7/1/2014
2106 University ,5/31/2014,7/1/2014
2501B Chapel Rd,5/31/2014,7/1/2014
12 Riverwalk,5/31/2014,6/30/2014
1606 Maryland Ave,5/31/2014,6/20/2014
2208 W Knox,5/31/2014,6/20/2014
1605-A W Club,5/31/2014,6/17/2014
1920 Hillandale,5/31/2014,6/15/2014
1327 Hamlin Rd,5/31/2014,6/14/2014
1020 Ninth St,5/31/2014,6/13/2014
2819 Independence,5/31/2014,6/13/2014
1216 Broad St Down,5/31/2014,6/12/2014
2908 Elgin,5/31/2014,6/11/2014
2629 Hitchcock,5/31/2014,6/10/2014
2301 Englewood Ave,5/31/2014,6/9/2014
912 Rome Ave,5/31/2014,6/9/2014
1011 Green St,5/31/2014,6/8/2014
2716 Shaftsbury St,5/31/2014,6/7/2014
1011 Morreene #24 ,5/31/2014,6/7/2014
